"beta0","beta1","beta2","beta3"
-3.79964138161401,-5.62731947990965,-0.352755774322331,-2.15186586715694
-3.79964138161401,-5.62731947990965,-0.352755774322331,-2.15186586715694
-3.79964138161401,-5.62731947990965,-0.352755774322331,-2.15186586715694
-3.79964138161401,-5.62731947990965,-0.352755774322331,-2.15186586715694
-3.79964138161401,-5.62731947990965,-0.352755774322331,-2.15186586715694
-3.79964138161401,-5.62731947990965,-0.352755774322331,-2.15186586715694
-3.79964138161401,-5.62731947990965,-0.352755774322331,-2.15186586715694
-3.79964138161401,-5.62731947990965,-0.352755774322331,-2.15186586715694
-3.79964138161401,-5.62731947990965,-0.352755774322331,-2.15186586715694
-3.79964138161401,-5.62731947990965,-0.352755774322331,-2.15186586715694
-3.79964138161401,-5.62731947990965,-0.352755774322331,-2.12946360724331
-3.79964138161401,-5.62731947990965,-0.352755774322331,-2.12946360724331
-3.79964138161401,-5.62731947990965,-0.352755774322331,-2.12946360724331
-3.79964138161401,-5.62731947990965,-0.827789453934465,-2.12946360724331
-3.79964138161401,-5.62731947990965,-0.827789453934465,-2.12946360724331
-3.79964138161401,-5.62731947990965,-0.775061579323357,-2.0621936721977
-3.79964138161401,-5.62731947990965,-1.23435261652229,-2.0621936721977
-3.79964138161401,-5.62731947990965,-1.33932342984795,-2.0621936721977
-3.90922420956917,-5.62731947990965,-1.33932342984795,-2.0621936721977
-3.90922420956917,-5.17196441835841,-1.33932342984795,-2.0621936721977
-3.90922420956917,-5.17196441835841,-1.33932342984795,-2.0621936721977
-3.90922420956917,-5.17196441835841,-0.919463965384204,-2.0621936721977
-3.90922420956917,-5.17196441835841,-0.919463965384204,-2.0621936721977
-3.90922420956917,-5.17196441835841,-0.919463965384204,-2.0621936721977
-3.90922420956917,-5.44752377533069,-0.629836992755159,-2.0621936721977
-3.90922420956917,-5.44752377533069,-0.629836992755159,-2.0621936721977
-3.90922420956917,-5.44752377533069,-0.629836992755159,-2.0621936721977
-3.90922420956917,-5.44752377533069,-0.629836992755159,-2.0621936721977
-3.90922420956917,-5.44752377533069,-0.629836992755159,-2.0621936721977
-3.90922420956917,-5.44752377533069,-0.629836992755159,-2.0621936721977
-3.90922420956917,-5.44752377533069,-0.629836992755159,-2.0621936721977
-3.90922420956917,-5.44752377533069,-0.629836992755159,-2.0621936721977
-3.90922420956917,-5.39878407525324,-0.629836992755159,-2.0621936721977
-3.90922420956917,-5.39878407525324,-0.629836992755159,-2.0621936721977
-3.90922420956917,-5.39878407525324,-0.629836992755159,-2.0621936721977
-3.90922420956917,-5.39878407525324,-0.629836992755159,-2.0621936721977
-3.90922420956917,-5.39878407525324,-0.629836992755159,-2.0621936721977
-3.90922420956917,-5.39878407525324,-0.629836992755159,-2.0621936721977
-3.90922420956917,-5.41188472762481,-0.629836992755159,-2.0621936721977
-3.90922420956917,-5.41188472762481,-0.629836992755159,-2.0621936721977
-3.90922420956917,-5.41188472762481,-0.629836992755159,-2.0621936721977
-3.90922420956917,-5.41188472762481,-0.629836992755159,-2.0621936721977
-3.90922420956917,-5.41188472762481,-0.629836992755159,-2.0621936721977
-3.90922420956917,-5.41188472762481,-0.629836992755159,-2.0621936721977
-3.92222075200051,-5.41188472762481,-0.629836992755159,-2.0621936721977
-3.92222075200051,-5.41188472762481,-0.629836992755159,-1.9612540776516
-3.92222075200051,-5.41188472762481,-1.12878289696333,-1.91374886542491
-3.92222075200051,-5.41188472762481,-1.12878289696333,-1.91374886542491
-3.92222075200051,-5.41388031822252,-1.2480651672857,-1.91374886542491
-4.14287620313505,-4.90873443194938,-1.2480651672857,-1.91374886542491
-4.30628211790079,-4.90873443194938,-1.2480651672857,-1.91374886542491
-4.30628211790079,-4.90873443194938,-1.2480651672857,-1.80361106080769
-4.30628211790079,-4.90873443194938,-1.06040135025926,-1.80361106080769
